CHEMBL1082,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C
CHEMBL1082723,C[C@H]1CC2=C([C@]3(N1)C4=C(C=CC(=C4)Cl)NC3=O)NC5=CC(=C(C=C25)F)Cl
CHEMBL108545,COC(=O)C1=CC=CC=C1O
CHEMBL1085949,C1=CC=C(C=C1)C(CCN=C(N)NC(=NCCCNCCCCCCCNCCCN=C(N)NC(=NCCC(C2=CC=CC=C2)C3=CC=CC=C3)N)N)C4=CC=CC=C4.Cl
CHEMBL1087,CC1=C(C(=CC=C1)C)NC(=O)C2CCCCN2C
CHEMBL1087459,CN1CCC2=C(C1)N(C3=CC=CC=C23)CCCCCCCCCN4C5=C(CCN(C5)C)C6=CC=CC=C64
CHEMBL1088572,C1OC2=C(O1)C=C3C(=C2)C(C=C(N3)C4=CC=CC=C4F)OP(=O)(O)[O-].[Na+]
CHEMBL1089,C1=CC=C(C=C1)CCNN
CHEMBL109,CCCC(CCC)C(=O)O
CHEMBL109018,CC1=C(C(=O)OC2=C1C=CC(=C2)OCC3=CC(=CC=C3)Cl)C
CHEMBL1095699,C([C@@H](C(=O)O)N)OC(=O)C=[N+]=[N-]
CHEMBL1098471,C1=CC=C2C(=C1)C3=C(N2CCCCCCCCCN4C5=CC=CC=C5C6=C4C=NC=C6)C=NC=C3
CHEMBL1103,C1COC(=O)N1/N=C/C2=CC=C(O2)[N+](=O)[O-]
CHEMBL1105,COC1=CC2=C(C=C1)C=C(C=C2)CC(=O)O
CHEMBL110691,CC(=O)[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C=C(C4=CC(=O)CC[C@]34C)Cl)C)OC(=O)C
CHEMBL1108,C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F
CHEMBL1109,C1=CC=C(C=C1)N2C(=CC=N2)NS(=O)(=O)C3=CC=C(C=C3)N
